image_urls,images,name,price
,,"iQOO Neo9 Pro 5G (Fiery Red, 8GB RAM, 128GB Storage)","34,999.00"
,,Vivo T3 Lite 5G 4GB+128GB Vibrant Green,"12,900.00"
,,"Vivo T3X 5G (Celestial Green, 128 GB) (6 GB RAM)","16,980.00"
,,Vivo T3 Lite 5G 4GB+128GB Majestic Black,"12,900.00"
,,"POCO M6 5G (Orion Blue, 128 GB) (4 GB RAM)","9,249.00"
,,"iQOO Neo 7 Pro 5G (Fearless Flame, 8Gb Ram, 128Gb Storage) | Snapdragon 8+ Gen 1 | Independent Gaming Chip | Flagship 50Mp Ois Camera | Premium Leather Design, Orange","32,999.00"
,,Vivo T3 Lite 5G 6GB+128GB Vibrant Green,"15,499.00"
,,Vivo T3 Lite 5G 6GB+128GB Majestic Black,"14,000.00"
,,"MOTOROLA G34 5G (Ocean Green, 128 GB) (8 GB RAM)","11,795.00"
,,"MOTOROLA G34 5G (Charcoal Black, 128 GB) (8 GB RAM)","11,771.00"
,,"Motorola G04s (Sunrise Orange, 64 GB) (4 GB RAM)","7,990.00"
,,"Motorola G04s (Sea Green, 64 GB) (4 GB RAM)","8,490.00"
,,"Motorola G04s (Satin Blue, 64 GB) (4 GB RAM)","7,819.00"
,,"Motorola G04s (Concord Black, 64 GB) (4 GB RAM)","8,990.00"
,,"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB) (12 GB RAM)","26,230.00"
,,"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB) (8 GB RAM)","22,998.00"
,,"Infinix HOT 40i (Starfall Green, 256 GB) (8 GB RAM)","8,997.00"
,,"Infinix Smart 8 HD (Black, 64 GB) 3GB RAM (Timber Black)","6,789.00"
,,"Infinix Hot 30 5G, Miami Orange (8GB, 128GB)","13,799.00"
,,"realme P1 Pro 5G (Parrot Blue, 8GB RAM, 128GB Storage) | Up to 16 GB Dynamic RAM | Snapdragon 6 Gen 1 Processor | 6.7"" Curved AMOLED Display | 50MP + 8MP | 16MP Front Camera | IP65 Water Resistance","18,699.00"
,,"realme C11 2021 (Cool Grey, 4GB RAM, 64GB Storage), Medium (RMX3231)","7,750.00"
,,"Canon PIXMA E4570 All-in-One, Wireless, Mono/Colour, Print, Scan, Copy, Fax, Duplex Printing, 5.2 cm LCD","9,625.00"
,,"OnePlus Pad 29.49cm (11.61 inch) LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet","35,999.00"
,,Moto G85 (8gb+128Gb) Urban Grey,"16,999.00"
,,"HP 15s 12th Gen Intel Core i5 8GB RAM/512GB SSD 15.6inches(39.6cm) FHD, Micro-Edge Display/Intel Iris Xe Graphics/Dual Speakers/Windows 11 Home/Alexa Built-in/Backlit KB/MSO 2021/1.69kg, 15s-fq5010TU","79,019.00"
,,"CMF by Nothing Phone 1 (Black, 128 GB)  (6 GB RAM)","19,999.00"
,,Infinix Smart 8 8GB RAM 128GB Storage | 5000 mAh Heavy Battery | Android 13 Go | 50MP + AI Camera | Dual Sim (Rainbow Blue),"7,899.00"
,,Redmi A3 Olive Green 4GB RAM 128GB ROM without offer,"8,000.00"
,,"realme C61 (Safari Green, 128 GB) (6 GB RAM)","8,999.00"
,,Xiaomi Redmi 13 5G,"13,999.00"
,,"OPPO F27 Pro+ (Midnight Navy, 128 GB) (8 GB RAM)","27,999.00"
